Pointer[#version],Original,Translated
0x7435c,<&BUF01> は<4E>ダメージかいふくを おこなった!<S3c><*4>,<&BUF01> cleared its damage!<S3c><*4>
0x74366,<&BUF01> は<4E>きのうかいふくを おこなった!<S3c><*4>,<&BUF01> tried to restore function!<S3c><*4>
0x74368,ねらったパーツは<4E>ダメージを うけていません!<S3c><*4>,The targeted part is not damaged!<S3c><*4>
0x7436a,ねらったパーツは<4E>きのうていし していません!<S3c><*4>,The targeted part is not destroyed!<S3c><*4>
0x7436c,さくてきで あがったせいこうリつを<4E>さげた!<S3c><*4>,Success rate bonuses were reduced!<S3c><*4>
0x7436e,<&BUF01> は<4E>あたまで ぼうぎょした!!<S3c><*4>,<&BUF01> defended with its head!<S3c><*4>
0x74370,<&BUF01> は<4E>みぎうでで ぼうぎょした!!<S3c><*4>,<&BUF01> defended with its right arm!<S3c><*4>
0x74372,<&BUF01> は<4E>ひだリうでで ぼうぎょした!!<S3c><*4>,<&BUF01> defended with its left arm!<S3c><*4>
0x74374,<&BUF01> は<4E>きゃくぶで ぼうぎょした!!<S3c><*4>,<&BUF01> defended with its legs!<S3c><*4>
0x74376,ヘんどうかいじょを おこなった!<S3c><*4>,Attempted to clear Flux status!<S3c><*4>
0x74378,ていしかいじょを おこなった!<S3c><*4>,Attempted to clear Stop status!<S3c><*4>
0x7437a,そくばくかいじょを おこなった!<S3c><*4>,Attempted to clear Bind status!<S3c><*4>
0x7437c,けいぞくかいじょを おこなった!<S3c><*4>,Attempted to clear Burn status!<S3c><*4>
0x7437e,しょうじょうかいじょを おこなった!<S3c><*4>,Attempted to clear status effects!<S3c><*4>
0x74380,<&NAME> は<4E>メダル「<&BUF04>」をてにいれた<*2>,<&NAME> obtained the <&BUF04> Medal!<*2>
0x74382,<&NAME> は<4E>メダル「<&BUF04>」をとられた<*2>,<&NAME>'s <&BUF04> Medal was taken!<*2>
0x74384,<&BUF04> は<4E>メダル「<&BUF01>」をてにいれた<*2>,<&BUF04> obtained the <&BUF01> Medal!<*2>
0x74386,あっ! メダル「<&BUF04>」は<4E>メダル「<&BUF01>」にヘんかした<*2>,Ah! The <&BUF04> Medal transformed into a <&BUF01> Medal!<*2>
0x74388,しかし メダル「<&BUF04>」は<4E>すでにもっています<4C>メダル「<&BUF04>」をもてなかった<4C><*4>,...But you already have that Medal!<4C>The <&BUF04> Medal wasn't taken.<*4>
0x7438a,そのかわリに<4E>ぜんじゅくれんどが 4アップした!!<*2>,"In exchange, all of its skills were raised by 4!<*2>"
0x7438c,くまれたメダロットがないとできません<S3c><*1>,You need at least one battle-ready Medarot to use this mode.<S3c><*1>
0x7438e,ここでは つうしんケーブルをつかって<4E>ともだちと あそぶことができます<4C>まず はじめてこられた あなたヘ<4E>つうしんロボトルを せつめいします<4C>ーーあそびでロボトルーー<4E>ともだちのメダロットと<4C>きがるに たいせんできるモードです<4C>ーーしんけんロボトルーー<4E>ともだちのメダロットと<4C>メダルおよびパーツをかけた<4E>しんけんしょうぶができるモードです<4C><*4>,"Hello! This is where you can play together with your friends using a Game Link cable.<49>Since this is your first time coming here, I'll explain link Robottles for you:<4C>--- Practice Robottle ---<49>In this mode, you can battle against your friends without worrying about winning or losing parts.<4C>--- Official Robottle ---<49>In this mode, you can battle your friends while putting your parts and Medals on the line!<*4>"
0x74390,まけたほうは メダルおよびパーツを<4E>とられてしまいます<4C>メダロットのすくない はじめのうちは<4E>やらないほうが いいとおもいます<4C>ーーパーツをトレードするーー<4E>ともだちのもっているパーツと<4C>あなたのもっているパーツを<4E>こうかんできるモードです<4C>いじょう!!<4E>3つのモードが たのしめます!<4C>それと もうひとつ!<4E>じゅうようなことが あリます<4C>このバージョンでは あいてから<4E>おくられてきた パーツ・メダルは<4C>ヘんか しません!<4C>ちょっと! ちゅういして<4E>つうしんしてね!,"The loser of the battle will have one of their parts or Medals taken by the winner.<49>For experienced players only!<4C>--- Trading Parts ---<49>In this mode, you can trade spare parts with your friends.<4C>That ends the explanation!<49>Have fun!"
0x74392,ユウキちゃんっていう カッコイイ<4E>おとこのこを しリませんこと?,
0x743a2,おてんきの よいひは<4E>ロボトルですのよ!,
0x743a4,そんなことを いわれましても<4E>わたくし あさは にがてですの,
0x743a6,そうよ あなたが わるいんですの,
0x743a8,ころんでも<4E>ただでは おきません ことよ!,
0x743aa,ユウキちゃんを かえさない<4E>わるいこには おしおきですわ!,
0x743ac,デリカシーの ない かたですわね!,
0x743ae,ベティ<4E>あんたは ほんとに ダメなこね,
0x743b0,あなたも そうやって わたくしを<4E>いじめるんですのねー,
0x743b2,そうですの わたくしは デザートは<4E>キウィと きめていますのよ,
0x743b4,そうなんですの?<4E>よく がまん なさっているわね,
0x743b6,いつも おなじことを<4E>いっていると つかれますわー,
0x743b8,わたくし ユウキちゃんを<4E>さがして おリますのよ,
0x743ba,なんだか さいきん<4E>つかれぎみですの,
0x743bc,あしたは はれると いいですわね,
0x743be,そうですわね<4E>あなたの いうとおリですわ!,
0x743c0,<S6>わたくし ひるまは いつも<4E>しょうがくせいを やっていますけど<S80><4A><S6>よるになって ベッドにはいって<4E>めを とじると<S80><4A><S6>「めだろっとおうこく」の<4E>おひめさまに なリますのよ<S60><*4>,"<S6>By day, I am just a simple elementary school student.<S80><4A><S6>By night, when I go to bed and close my eyes, I become...<S80><4A><S6>Princess of the Medarot Kingdom!<S60><*4>"
0x743c2,<S6>おひめさまの わたくしは<4E>いつも きまって<S80><4A><S6>「てぃんぺっとおうこく」の<4E>おうじさまの ユウキちゃんと<S80><4A><S6>いっしょなのですわ<S80><*4>,"<S6>As princess, I am always with<S80><4A><S6>Prince Yuki of the Tinpet Kingdom<S80><*4>"
0x743c4,<S6>でも あるひ カッコイイ<4E>ユウキちゃんを みかけた<S80><4A><S6>ミルキーっていう<4E>こわぁーーい まじょが<S80><4A><S6>ユウキちゃんを<4E>そばに おきたくなったのですわ<S80><4A><S6>それで ユウキちゃんは<4E>まじょミルキーのすむ とうに<S80><4A><S6>つれさられて しまったのです<S80><*4>,"<S6>But one day, the cool Prince Yuki was spotted!<S80><4A><S6>The scary witch Milky wanted to keep Yuki for herself.<S80><4A><S6>And so, Prince Yuki was carried away to the tower<S80><4A><S6>where the witch Milky lived.<S80><*4>"
0x743c6,<S6>わたくしと ユウキちゃんの<4E>なかを ひきさこうったって<S80><4A><S6>かみさまが ゆるしても<4E>このわたくしが ゆるしませんことよ!<S80><4A><S6>わたくしは<4E>かわいいクマの ベティをつれて<S80><4A><S6>いとしい ユウキちゃんを<4E>たすけだしに いくのでした<S80><4A><S6>めざすは「まじょのとう」!!<S80><4A><S6>ユウキちゃんは わたしませんことよ!<S80><4A><S6>まってて! ユウキちゃんっ!<S80><4A><S6>・・・いくわよ ベティ!!<S80><*4>,"<S6>Though the gods may forgive someone who tries to<S80><4A><S6>come between my dear Yuki and me,<S80><4A><S6>I will never forgive them!<S80><4A><S6>So, I took my adorable bear, Betty, and set off<S80><4A><S6>to rescue my precious Prince Yuki.<S80><4A><S6>Our destination: the ""Witch's Tower""!!<S80><4A><S6>I will not let anyone touch my Yuki!<S80><4A><S6>Wait for me, Yuki dearest!<S80><4A><S6>...Here we go, Betty!!<S80><*4>"
0x743c8,<IGNORED>,
0x74020,=0x7401e,=0x7401e
0x7406a,=0x74068,=0x74068
0x7406c,=0x74068,=0x74068
0x7406e,=0x74068,=0x74068
0x74070,=0x74068,=0x74068
0x74072,=0x74068,=0x74068
0x74074,=0x74068,=0x74068
0x74076,=0x74068,=0x74068
0x74078,=0x74068,=0x74068
0x7407a,=0x74068,=0x74068
0x7407c,=0x74068,=0x74068
0x7407e,=0x74068,=0x74068
0x74080,=0x74068,=0x74068
0x74082,=0x74068,=0x74068
0x74084,=0x74068,=0x74068
0x74086,=0x74068,=0x74068
0x74088,=0x74068,=0x74068
0x7408a,=0x74068,=0x74068
0x7408c,=0x74068,=0x74068
0x7408e,=0x74068,=0x74068
0x74090,=0x74068,=0x74068
0x74092,=0x74068,=0x74068
0x74094,=0x74068,=0x74068
0x74096,=0x74068,=0x74068
0x74098,=0x74068,=0x74068
0x7409a,=0x74068,=0x74068
0x7409c,=0x74068,=0x74068
0x7409e,=0x74068,=0x74068
0x740a0,=0x74068,=0x74068
0x740b6,=0x740b4,=0x740b4
0x740b8,=0x740b4,=0x740b4
0x740ba,=0x740b4,=0x740b4
0x740bc,=0x740b4,=0x740b4
0x740be,=0x740b4,=0x740b4
0x740c0,=0x740b4,=0x740b4
0x740c2,=0x740b4,=0x740b4
0x740c4,=0x740b4,=0x740b4
0x740c6,=0x740b4,=0x740b4
0x740c8,=0x740b4,=0x740b4
0x740ca,=0x740b4,=0x740b4
0x740cc,=0x740b4,=0x740b4
0x740ce,=0x740b4,=0x740b4
0x740d0,=0x740b4,=0x740b4
0x740d2,=0x740b4,=0x740b4
0x740d4,=0x740b4,=0x740b4
0x740d6,=0x740b4,=0x740b4
0x740d8,=0x740b4,=0x740b4
0x740da,=0x740b4,=0x740b4
0x740dc,=0x740b4,=0x740b4
0x740de,=0x740b4,=0x740b4
0x740e0,=0x740b4,=0x740b4
0x740e2,=0x740b4,=0x740b4
0x740e4,=0x740b4,=0x740b4
0x740e6,=0x740b4,=0x740b4
0x740e8,=0x740b4,=0x740b4
0x740ea,=0x740b4,=0x740b4
0x740ec,=0x740b4,=0x740b4
0x740ee,=0x740b4,=0x740b4
0x740f0,=0x740b4,=0x740b4
0x7415a,=0x74158,=0x74158
0x74180,=0x7417e,=0x7417e
0x741f8,=0x741f6,=0x741f6
0x741fa,=0x741f6,=0x741f6
0x741fc,=0x741f6,=0x741f6
0x741fe,=0x741f6,=0x741f6
0x74200,=0x741f6,=0x741f6
0x74276,=0x74274,=0x74274
0x74278,=0x74274,=0x74274
0x7427a,=0x74274,=0x74274
0x7427c,=0x74274,=0x74274
0x7427e,=0x74274,=0x74274
0x74280,=0x74274,=0x74274
0x74282,=0x74274,=0x74274
0x74284,=0x74274,=0x74274
0x74286,=0x74274,=0x74274
0x74288,=0x74274,=0x74274
0x7428a,=0x74274,=0x74274
0x7428c,=0x74274,=0x74274
0x7428e,=0x74274,=0x74274
0x74290,=0x74274,=0x74274
0x74292,=0x74274,=0x74274
0x74294,=0x74274,=0x74274
0x74296,=0x74274,=0x74274
0x74298,=0x74274,=0x74274
0x7429a,=0x74274,=0x74274
0x7429c,=0x74274,=0x74274
0x7429e,=0x74274,=0x74274
0x742a0,=0x74274,=0x74274
0x742a2,=0x74274,=0x74274
0x742a4,=0x74274,=0x74274
0x742a6,=0x74274,=0x74274
0x742a8,=0x74274,=0x74274
0x742aa,=0x74274,=0x74274
0x742ac,=0x74274,=0x74274
0x742ae,=0x74274,=0x74274
0x742b0,=0x74274,=0x74274
0x742b2,=0x74274,=0x74274
0x742b4,=0x74274,=0x74274
0x742b6,=0x74274,=0x74274
0x742b8,=0x74274,=0x74274
0x742ba,=0x74274,=0x74274
0x742bc,=0x74274,=0x74274
0x742be,=0x74274,=0x74274
0x742c0,=0x74274,=0x74274
0x742c2,=0x74274,=0x74274
0x742c4,=0x74274,=0x74274
0x742c6,=0x74274,=0x74274
0x742c8,=0x74274,=0x74274
0x742ca,=0x74274,=0x74274
0x742cc,=0x74274,=0x74274
0x742ce,=0x74274,=0x74274
0x742d0,=0x74274,=0x74274
0x742d2,=0x74274,=0x74274
0x742d4,=0x74274,=0x74274
0x742d6,=0x74274,=0x74274
0x742d8,=0x74274,=0x74274
0x742da,=0x74274,=0x74274
0x742dc,=0x74274,=0x74274
0x742de,=0x74274,=0x74274
0x742e0,=0x74274,=0x74274
0x742e2,=0x74274,=0x74274
0x742e4,=0x74274,=0x74274
0x742e6,=0x74274,=0x74274
0x742e8,=0x74274,=0x74274
0x742ea,=0x74274,=0x74274
0x742ec,=0x74274,=0x74274
0x742ee,=0x74274,=0x74274
0x742f0,=0x74274,=0x74274
0x742f2,=0x74274,=0x74274
0x742f4,=0x74274,=0x74274
0x742f6,=0x74274,=0x74274
0x742f8,=0x74274,=0x74274
0x742fa,=0x74274,=0x74274
0x742fc,=0x74274,=0x74274
0x742fe,=0x74274,=0x74274
0x74340,=0x7433e,=0x7433e
0x7435e,=0x7435c,=0x7435c
0x74360,=0x7435c,=0x7435c
0x74362,=0x7435c,=0x7435c
0x74364,=0x7435c,=0x7435c
0x74394,=0x74392,=0x74392
0x74396,=0x74392,=0x74392
0x74398,=0x74392,=0x74392
0x7439a,=0x74392,=0x74392
0x7439c,=0x74392,=0x74392
0x7439e,=0x74392,=0x74392
0x743a0,=0x74392,=0x74392
0x743ca,=0x743c8,=0x743c8
0x743cc,=0x743c8,=0x743c8
0x743ce,=0x743c8,=0x743c8
0x743d0,=0x743c8,=0x743c8
0x743d2,=0x743c8,=0x743c8
0x743d4,=0x743c8,=0x743c8
0x743d6,=0x743c8,=0x743c8
0x743d8,=0x743c8,=0x743c8
0x743da,=0x743c8,=0x743c8
0x743dc,=0x743c8,=0x743c8
0x743de,=0x743c8,=0x743c8
